Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
carballo,com.alonsoruibal.chess.evaluation,CompleteEvaluator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: logger; MOBILITY; WHITE_SPACE_ZONE; BLACK_SPACE_ZONE; SPACE; PAWN_ATTACKS; MINOR_ATTACKS; MAJOR_ATTACKS; HUNG_PIECES; PINNED_PIECE; PAWN_BACKWARDS; PAWN_ISOLATED; PAWN_DOUBLED; PAWN_UNSUPPORTED; PAWN_CANDIDATE; PAWN_PASSER; PAWN_PASSER_OUTSIDE; PAWN_PASSER_CONNECTED; PAWN_PASSER_SUPPORTED; PAWN_PASSER_MOBILE; PAWN_PASSER_RUNNER; PAWN_PASSER_OTHER_KING_DISTANCE; PAWN_PASSER_MY_KING_DISTANCE; PAWN_SHIELD_CENTER; PAWN_SHIELD; PAWN_STORM_CENTER; PAWN_STORM; PAWN_BLOCKADE; KNIGHT_OUTPOST; BISHOP_OUTPOST; BISHOP_MY_PAWNS_IN_COLOR_PENALTY; BISHOP_TRAPPED_PENALTY; BISHOP_TRAPPING; BISHOP_TRAPPING_GUARD; ROOK_OUTPOST; ROOK_FILE; ROOK_7; ROOK_TRAPPED_PENALTY; ROOK_TRAPPING; PIECE_ATTACKS_KING; KING_SAFETY_PONDER; TEMPO; OUTPOST_MASK; pawnPcsq; knightPcsq; bishopPcsq; rookPcsq; queenPcsq; kingPcsq; debug; debugPawns; debugSB; scaleFactor; pawnMaterial; nonPawnMaterial; pcsq; space; positional; mobility; attacks; kingAttackersCount; kingSafety; pawnStructure; passedPawns; pawnCanAttack; mobilitySquares; kingZone
carballo,com.alonsoruibal.chess.evaluation,ExperimentalEvaluator,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: evaluate
carballo,com.alonsoruibal.chess.evaluation,ExperimentalEvaluator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
carballo,com.alonsoruibal.chess.evaluation,Endgame,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: evaluateEndgame
carballo,com.alonsoruibal.chess.evaluation,Endgame,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SCALE_FACTOR_DRAW; SCALE_FACTOR_DRAWISH; SCALE_FACTOR_DEFAULT; closerSquares; toCorners; toColorCorners; kpkBitbase
carballo,com.alonsoruibal.chess.evaluation,Evaluator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: W; B; NO_VALUE; MATE; KNOWN_WIN; DRAW; PAWN_OPENING; PAWN; KNIGHT; BISHOP; ROOK; QUEEN; PIECE_VALUES; PIECE_VALUES_OE; BISHOP_PAIR; GAME_PHASE_MIDGAME; GAME_PHASE_ENDGAME; NON_PAWN_MATERIAL_ENDGAME_MIN; NON_PAWN_MATERIAL_MIDGAME_MAX; bbAttacks
carballo,com.alonsoruibal.chess.evaluation,SimplifiedEvaluator,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: evaluate
carballo,com.alonsoruibal.chess.evaluation,KPKBitbaseGenerator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
carballo,com.alonsoruibal.chess.evaluation,KPKBitbaseGenerator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: logger; MAX_INDEX; bitbase; RESULT_INVALID; RESULT_UNKNOWN; RESULT_DRAW; RESULT_WIN; RANK_7; RANK_2; DELTA_N; whiteToMove; blackKingIndex; whiteKingIndex; pawnIndex; result
carballo,com.alonsoruibal.chess.evaluation,KPKBitbaseGenerator.KPKPosition,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: whiteToMove; blackKingIndex; whiteKingIndex; pawnIndex; result
carballo,com.alonsoruibal.chess.evaluation,KPKBitbaseGenerator.KPKPosition,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
carballo,com.alonsoruibal.chess.evaluation,KPKBitbaseGenerator.KPKPosition,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: whiteToMove; blackKingIndex; whiteKingIndex; pawnIndex; result
carballo,com.alonsoruibal.chess.log,Logger,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: noLog; prefix
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: logger; rook; bishop; knight; king; pawn; USE_MAGIC; instance
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,Cyclic Hierarchy,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: BitboardAttacksMagic
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: BitboardAttacks; Board; LegalMoveGenerator; Move; AttacksInfo; ZobristKey
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacksMagic,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: logger; rookShiftBits; bishopShiftBits; rookMagicNumber; bishopMagicNumber; rookMask; rookMagic; bishopMask; bishopMagic
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: b_d; b_u; b_r; b_l; b2_d; b2_u; b2_r; b2_l; A; B; C; D; E; F; G; H; FILE; FILES_ADJACENT; FILES_LEFT; FILES_RIGHT; R1; R2; R3; R4; R5; R6; R7; R8; RANK; RANKS_UPWARDS; RANK_AND_UPWARDS; RANKS_DOWNWARDS; RANK_AND_DOWNWARDS; RANKS_FORWARD; RANKS_BACKWARD; RANK_AND_FORWARD; RANK_AND_BACKWARD; SQUARE_NAMES; DISTANCE
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
carballo,com.alonsoruibal.chess.bitboard,AttacksInfo,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: W; B; bbAttacks; boardKey; attackedSquaresAlsoPinned; attackedSquares; attacksFromSquare; pawnAttacks; knightAttacks; bishopAttacks; rookAttacks; queenAttacks; kingAttacks; kingIndex; pinnedMobility; bishopAttacksKing; rookAttacksKing; mayPin; piecesGivingCheck; interposeCheckSquares; pinnedPieces
carballo,com.alonsoruibal.chess.bitboard,MagicNumbersGenerator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
carballo,com.alonsoruibal.chess.bitboard,MagicNumbersGenerator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: random
carballo,com.alonsoruibal.chess.tt,TranspositionTable,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: logger; DEPTH_QS_CHECKS; DEPTH_QS_NO_CHECKS; TYPE_EVAL; TYPE_EXACT_SCORE; TYPE_FAIL_LOW; TYPE_FAIL_HIGH; MAX_PROBES; keys; infos; evals; size; info; eval; generation; entriesOccupied; score; sizeBits
carballo,com.alonsoruibal.chess.tt,TranspositionTable,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: MoveIterator; SearchEngine; SearchObserver; SearchStatusInfo; TranspositionTable; Node
carballo,com.alonsoruibal.chess.swing,ChessApp,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: ChessApp; BoardJPanel
carballo,com.alonsoruibal.chess.swing,PieceJLabel,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; piece; style
carballo,com.alonsoruibal.chess.epdtest,ArasanTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): EpdTest
carballo,(default package),EpdTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
carballo,(default package),EpdTest,Feature Envy,The tool detected a instance of this smell because testPosition is more interested in members of the type: UciEngine
carballo,(default package),EpdTest,Feature Envy,The tool detected a instance of this smell because epdTest is more interested in members of the type: UciEngine
carballo,com.alonsoruibal.chess.uci,Uci,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
